Gap_Size.m.,DBH.cm.,Tree_Height,MeanDBH.cm.,Stand_mean_height,density.ha.,CI_BAL,Average_CI_BAL,Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Dummy11,Dummy12,Dummy13,Dummy14,Dummy15,Dummy16,Dummy17,Dummy18,Dummy19,Dummy20,Dummy21,Dummy22,Dummy23,Dummy24,Dummy25,Dummy26,Dummy27,Dummy28,Dummy29,Dummy30,Dummy31,Dummy32,Dummy33,Dummy34,Dummy35,Dummy36,Dummy37,Dummy38,Dummy39,Dummy40,Dummy41,Dummy42,Dummy43,Dummy44,Dummy45,Dummy46,Dummy47,Dummy48,Dummy49,Dummy50,Tree_Damage
0.506596748,0.364976893,0.238104599,0.146461177,0.506596748,-0.312512942,-0.058779529,0.659049643,-0.419044967,-0.098201613,0.261896285,0.006505551,-0.373540165,-0.268081107,0.449880629,0.042945616,-0.154454243,0.101722053,-0.989610406,-0.388425412,0.079189495,-0.38573439,0.000258611,-0.436419664,0.159917641,0.203512451,-0.488495958,0.336918174,-0.528499337,0.005508048,0.245120545,-0.889415822,0.477861225,0.408090464,-0.097919569,0.472590531,3.13E-01,-0.21784798,-0.70154839,0.669327869,-0.839957148,0.043636937,0.318789584,-0.102009702,-0.0167381,-0.397774747,-0.539848353,-0.274330634,-0.123618312,0.090226168,0.602962385,-0.311482755,0.863265963,0.20798256,0.141854552,0.330522577,-0.110516936,-0.176271829,0
0.506596748,0.322540775,0.390220247,0.146461177,0.506596748,-0.312512942,0.264939501,0.659049643,-0.42296596,-0.101530223,0.248303195,-0.013458343,-0.376866238,-0.267864084,0.469407749,-0.041539364,-0.030421198,0.171858599,-0.986899633,-0.386370664,0.08611242,-0.383980877,0.078797056,-0.436419664,0.127973545,0.161211268,-0.494834921,0.34877378,-0.531164233,0.134206701,0.224656576,-0.866350842,0.118205607,0.322453014,-0.104264327,0.472592244,3.13E-01,-0.137368422,-0.694874617,0.030632142,-0.073256539,-0.257560807,0.248294376,-0.103378489,0.061610257,-0.404907433,-0.376117736,-0.184382218,-0.123618312,0.04982818,0.602962385,-0.311360169,0.858032905,0.485187899,0.074396467,0.388798183,-0.142123911,-0.175939298,0
0.506596748,0.210261881,0.200075687,0.146461177,0.506596748,-0.312512942,0.77425239,0.659049643,-0.418337426,0.163904238,0.291586011,0.258105932,-0.37703355,-0.267450743,0.446877447,-0.063086949,-0.683959985,0.369215906,-0.993393335,-0.38799294,0.091952259,-0.383561561,-0.185442915,-0.436419664,0.126969033,0.20803579,-0.459712538,0.339324022,-0.527816969,0.452327737,-0.119185258,-0.891766998,0.078399552,0.545253979,-0.126924442,0.472602088,3.13E-01,-0.228373988,-0.699781429,0.054741967,-0.947234652,-0.336763099,0.405721254,-0.113188321,-0.074220022,-0.405602303,-0.384614794,-0.228007742,-0.123618312,0.068927648,0.602962385,-0.311759875,0.844610258,0.101312303,0.147681238,0.690083118,0.090708524,-0.175872423,0
0.506596748,-0.001034622,0.162046775,0.146461177,0.506596748,-0.312512942,1.032157872,0.659049643,-0.428174352,0.441106634,0.132002718,0.337163888,1.339918807,-0.267393378,0.443416485,0.02988701,-0.292004319,0.101753206,-1.00186237,-0.389263387,0.111713337,-0.384175784,0.392771089,-0.436419664,0.118788491,0.243872053,-0.455050164,0.495311541,-0.527132448,0.550861017,0.259965211,-0.901169763,0.433074128,0.510048658,-0.12694136,0.472595654,3.13E-01,-0.233332559,-0.693412743,0.011340897,-0.574419608,-0.049567246,0.335673254,-0.108905155,0.482701892,-0.405402931,-0.4250495,-0.171425485,-0.123618312,-0.516302678,0.602962385,-0.314482584,0.850095326,0.331072882,0.220124165,0.68539524,0.423333413,-0.175892679,0
0.506596748,0.898964706,0.618393719,0.146461177,0.506596748,-0.312512942,-1.223208527,0.659049643,-0.416874328,-0.111654845,0.289604632,-0.027128858,-0.382411007,-0.273122994,0.476287129,0.022222883,0.03109904,0.141046929,-0.975780996,-0.388386772,0.12993596,-0.383014537,-0.253701986,-0.436419664,0.129792453,0.139859704,-0.490325185,0.34458003,-0.534991524,0.20909126,0.435428988,-0.895513998,0.639060221,0.363677362,-0.114992527,0.472581526,3.13E-01,-0.044122887,-0.700699868,0.881356291,-0.610331227,0.173808864,0.064671575,-0.106477871,-0.131618877,-0.40833237,-0.507059196,0.024408519,-0.123618312,0.280329883,0.602962385,-0.312198288,0.860897923,0.321784312,0.037360943,0.384807607,-0.133839612,-0.175433582,0
0.506596748,0.308395403,0.504306983,0.146461177,0.506596748,-0.312512942,0.36940439,0.659049643,-0.422974168,-0.08122286,0.291194278,0.02380556,-0.380911872,-0.267798889,0.470390146,0.03838495,-0.010310652,0.190144451,-0.991417364,-0.387355838,0.11572739,-0.382202062,0.612092334,-0.436419664,-0.421867351,0.21549232,-0.50223842,0.305966211,-0.53310371,-0.582721621,0.458353972,-0.879466676,0.379423821,0.306666161,-0.11179973,0.472592931,3.13E-01,-0.073112639,-0.689535599,0.263989567,-0.65262857,-0.277484115,0.257493093,-0.104244958,0.563342433,-0.407418602,-0.434205712,0.023366197,-0.123618312,0.323352235,0.602962385,-0.311473684,0.855509999,0.052296469,0.15759982,0.378347369,-0.138284773,-0.175460073,0
0.506596748,0.519691905,0.238104599,0.146461177,0.506596748,-0.312512942,-0.77034006,0.659049643,-0.422504186,0.356957548,0.185960076,0.320851845,-0.373871302,-0.269127519,0.449946234,-0.023553089,0.09152457,-0.163781891,-0.984602699,-0.388030627,0.073202862,-0.384380171,0.214815409,-0.436419664,0.139543785,0.170720531,-0.399891216,0.337850246,-0.528499337,0.413586534,0.241903141,-0.889415822,0.477861225,0.360407405,-0.125731772,0.472586513,3.13E-01,-0.21784798,-0.70154839,0.818097792,-0.592477725,0.139104451,0.375032351,-0.109980044,0.119718611,-0.411064335,-0.556554375,-0.041154769,-0.123618312,0.275125069,0.602962385,-0.315076881,0.853978235,0.254831034,0.089963916,0.390865592,0.339097812,-0.177103425,0
0.506596748,-0.802900427,-0.142184522,0.146461177,0.506596748,-0.312512942,1.565940742,0.659049643,-0.425833397,-0.080651645,0.241316693,0.024862895,-0.341712035,2.744009614,0.407267227,0.121366372,0.347460375,0.190553273,-1.070740186,-0.384734938,0.282642576,-0.382714546,-0.61930287,-0.436419664,0.123690034,0.366511451,-0.502494896,0.443981587,3.741620227,-0.252017805,0.432258352,-0.879948089,-0.006367989,0.306453472,-0.110810167,0.472595654,3.13E-01,-0.106931962,-0.701494364,-1.043139028,-0.062100801,2.001668143,0.261399126,-0.067688169,0.313280764,-0.411239419,-0.328577012,-0.294822851,9.21954886,-0.182082759,0.602962385,-0.311306112,0.855448053,0.369711051,0.447624198,-2.906532352,-0.138104563,-0.175242126,0
0.506596748,-0.155749634,0.162046775,0.146461177,0.506596748,-0.312512942,1.179284248,0.659049643,-0.424618361,-0.04103797,0.220043812,0.122605692,1.339918807,-0.268066107,0.446393961,0.125447219,0.019338933,0.011569267,-1.010633345,-0.389534675,0.122250043,-0.38586472,0.111510444,-0.436419664,0.166067471,0.294637534,-0.487861091,0.345485722,-0.527132448,0.221740149,0.243358548,-0.901169763,0.433074128,0.43235022,-0.120500562,0.472595654,3.13E-01,-0.233332559,-0.693412743,0.172559269,-0.744482576,0.052192475,0.357227152,-0.09722656,0.162950724,-0.403086513,-0.505251079,-0.793388363,-0.12361831,0.014435664,0.602962385,-0.312149252,0.866847588,0.218715704,0.302759251,0.257545577,-0.049533506,-0.176093304,0
0.506596748,-0.001034622,-0.028097785,0.146461177,0.506596748,-0.312512942,1.032157872,0.659049643,-0.42711547,0.441106634,0.132002718,0.337163888,-0.379712806,-0.267393378,0.418728958,0.002548527,-0.292004319,0.101753206,-0.998073085,-0.386266387,0.167102001,-0.382235033,0.392771089,-0.436419664,0.118788491,0.163340426,-0.455050164,0.495311541,-0.523621587,0.550861017,0.259965211,-0.883394727,0.077441597,0.510048658,-0.12694136,0.472595654,3.13E-01,-0.176380889,-0.690660606,0.011340897,-0.113384574,-0.076982003,0.354712239,-0.108905155,0.482701892,-0.405402931,-0.420542564,-0.417402212,-0.123618312,-0.516302678,0.602962385,-0.314482584,0.850095326,0.331072882,0.091749911,0.537833855,0.423333413,-0.175892679,0
