1.15E+12,4.99E+75,16.66666667,97.14285714,27.62645914,*,*,*,+,*,*,*,+,+,*,*,*,+,f37,*,f37,-,f26,-,-,*,f26,f37,*,f37,-,*,f37,+,f37,f26,-,f26,+,f49,-,f37,-,+,f37,f26,f26,*,f49,f37,f26,f40,f52,f52,f26,f38,f37,f5,f37,f39,f12,f18,,,,,,,,,,,,,,,,,,,,,,,,
1.38E+09,4.96E+75,34.68468468,97.14285714,43.19066148,*,*,*,f49,*,*,*,*,+,*,-,*,+,f26,*,f37,/,*,f37,-,f37,*,-,+,f37,f37,f37,f26,f51,f37,+,f26,f37,f37,f37,f28,f26,f26,-,f37,f55,f26,f46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+10,4.91E+75,0,100,13.61867704,*,*,+,+,*,*,*,*,/,*,*,*,*,*,*,*,f37,*,/,*,+,f37,+,f26,-,f37,-,f37,f11,*,f26,f37,f26,f49,f37,f40,f26,f37,*,f26,f37,f37,f37,*,f37,-,f37,f26,f37,f37,f49,f16,f26,f11,f26,,,,,,,,,,,,,,,,,,,,,,,,,,
8009927.448,4.91E+75,37.38738739,94.28571429,45.13618677,*,*,*,+,*,*,*,/,*,*,f37,+,*,f37,*,*,+,+,+,*,f37,*,*,f37,f26,+,f37,-,+,/,f39,f49,f37,*,f49,f37,+,f37,f37,f26,*,f37,f37,f26,f19,f29,f26,f24,f1,f58,f36,f40,f26,f37,f23,,,,,,,,,,,,,,,,,,,,,,,,,,
7.84E+08,4.74E+75,27.92792793,97.14285714,37.3540856,*,*,+,*,*,*,*,f37,*,*,*,f37,*,*,*,*,*,f37,+,+,f37,*,*,f37,+,*,f37,f26,f37,f26,f37,f37,f37,f49,f49,+,f26,f37,f37,f37,f49,f49,f27,f5,f11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.27E+11,4.65E+75,39.63963964,97.14285714,47.47081712,*,*,+,*,+,*,*,*,*,*,f1,*,f26,*,-,-,+,f37,+,*,f37,*,f37,*,*,*,-,*,f37,f37,f37,f49,*,*,f37,*,f26,*,f37,+,f37,f37,f11,f26,f37,f26,f39,f37,f26,f26,f26,f49,f58,f51,f22,f48,f49,,,,,,,,,,,,,,,,,,,,,,,,
3.63E+08,4.61E+75,21.62162162,97.14285714,31.90661479,*,*,*,*,*,*,*,f37,f37,*,*,-,*,*,*,f37,f37,f49,f37,f37,*,f37,+,f37,+,f26,f26,f3,*,f26,+,f37,f37,f37,f39,f28,f37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.64E+08,4.39E+75,34.23423423,94.28571429,42.41245136,*,*,*,-,*,*,*,*,-,*,-,*,-,*,f37,*,-,f37,f37,+,-,f26,f37,*,f37,*,-,+,f37,f37,f37,f37,f26,-,+,*,f37,f37,f37,f31,f49,f37,f26,f17,f37,f15,f25,f52,f54,f37,f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+10,4.36E+75,32.88288288,100,42.0233463,*,*,*,-,*,+,*,*,+,+,*,+,-,*,*,+,+,/,f37,*,f37,*,f37,+,f37,f49,+,f37,f37,*,f37,*,*,/,+,f49,f10,f37,*,f37,+,f37,f37,f26,f35,f37,f37,f42,f10,f42,f30,f49,f29,f26,f45,f37,f48,f15,f37,,,,,,,,,,,,,,,,,,,,,,
1.27E+08,4.36E+75,0,100,13.61867704,*,*,*,*,+,*,*,-,+,/,f37,*,*,*,*,-,+,*,f37,f37,f52,f37,f37,+,f37,*,*,f37,f37,f37,f26,+,*,f26,f38,f47,f52,f37,f37,f37,f37,f8,f20,f26,f54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.41E+07,4.36E+75,38.73873874,94.28571429,46.30350195,*,*,*,+,*,*,*,+,+,*,-,*,*,*,-,f37,/,f37,f37,-,*,f37,*,-,f37,+,f37,f37,f37,+,f37,f37,f47,f26,f37,+,-,+,f26,f26,-,-,*,*,f24,f31,f53,f46,f37,f7,f13,f37,f56,f42,f37,f37,f37,f24,f19,,,,,,,,,,,,,,,,,,,,,,
1.31E+11,4.35E+75,36.48648649,100,45.13618677,*,*,*,*,*,*,+,*,*,-,f37,*,*,/,f37,f37,*,*,f37,*,-,-,*,f20,-,f37,f47,+,f37,f37,+,f21,-,f37,f20,f26,f37,f37,-,f20,f49,f37,f25,f18,f27,f14,f49,f37,f41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.00E+07,4.35E+75,35.58558559,97.14285714,43.9688716,*,*,*,*,*,*,*,+,*,f37,*,*,+,-,f37,-,*,-,*,+,f37,f37,*,*,-,f28,*,f26,f37,*,f19,+,f37,f37,f37,f37,f37,f37,f37,f26,f51,f37,*,f54,*,f52,f23,f12,f26,f21,f35,f51,f15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.53E+11,4.35E+75,35.58558559,97.14285714,43.9688716,*,*,*,*,-,*,*,*,+,*,*,+,+,*,+,f37,-,*,f37,-,f37,*,f37,f37,*,*,*,+,-,f37,*,f37,/,f20,+,-,f20,f16,*,*,f37,f49,f37,f37,f37,f37,f37,f37,*,f36,f19,f31,f39,f15,f28,f37,f35,f52,f20,f37,f28,f37,f51,,,,,,,,,,,,,,,,,,
7895022.513,4.32E+75,38.28828829,97.14285714,46.30350195,*,*,*,+,*,*,*,*,*,*,+,*,-,*,+,f2,-,*,f37,-,-,+,f37,f37,*,-,*,f37,f37,f37,f37,f37,/,*,f37,*,f37,f37,*,f55,*,-,+,f37,f26,f51,f37,f55,f47,f22,f37,f22,f32,f27,f24,f6,f13,f14,f46,f40,f26,,,,,,,,,,,,,,,,,,,,
