6.46E+11,1.27E+76,0,100,32.30769231,*,*,*,*,*,-,-,*,f16,*,*,+,f26,+,f37,*,*,*,f37,*,f37,*,*,*,*,f37,f37,*,f37,f26,f26,f26,f26,+,f28,+,f20,f13,f37,f49,/,f26,f26,f25,f57,f10,f20,f43,f33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.51E+07,1.71E+76,20.45454545,100,46.15384615,*,*,*,-,*,*,*,+,+,*,*,*,*,*,*,*,-,-,f49,f37,f37,*,f37,+,f37,f26,f26,f37,f37,f37,f49,/,f37,f27,f49,f37,f19,*,f37,f37,f49,f29,f4,f18,f45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35E+10,1.26E+76,0,100,32.30769231,*,*,*,*,+,*,-,*,*,f37,*,f37,*,/,/,f26,*,*,-,-,*,*,*,+,+,f26,f39,f37,f26,f37,-,f15,+,f37,f26,f15,f16,*,*,*,f32,f26,f24,f8,+,f37,f24,f24,f25,f26,f32,f26,f26,f26,f10,f5,f29,,,,,,,,,,,,,,,,,,,,,,
2.33E+09,1.83E+76,50,100,66.15384615,*,*,*,*,*,+,*,*,*,*,f37,-,f37,*,*,f37,f37,f37,f37,f37,f37,+,*,*,*,*,*,f27,*,f37,f5,*,f37,*,*,f2,f37,f37,f39,f50,f52,f48,f37,f2,f7,f5,f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.19E+10,1.37E+76,22.72727273,100,47.69230769,*,*,*,+,*,*,*,*,*,+,*,*,*,+,-,*,f49,f26,*,f49,f37,+,-,f37,*,f26,+,f37,f37,*,+,f37,f37,-,f26,/,f26,f1,f37,*,f37,f37,f49,f49,f16,f37,f49,f37,f27,f26,f1,f6,f49,,,,,,,,,,,,,,,,,,,,,,,,,,
4.85E+07,1.28E+76,15.90909091,100,43.07692308,*,*,*,*,*,*,-,*,+,*,f37,*,-,f26,/,*,+,*,*,*,f26,f37,f49,+,f26,*,-,f37,f37,f49,f37,f37,f26,f37,f49,*,f37,f37,f49,f49,/,*,f35,f26,f52,f17,f47,f2,f53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.83E+07,1.25E+76,20.45454545,100,46.15384615,*,*,*,+,*,*,*,*,-,*,f37,*,*,f43,f37,*,f51,/,+,f32,*,*,*,f37,*,f26,-,f26,-,f37,/,-,f37,f37,f26,*,+,*,f26,f42,f2,f47,f5,f49,f56,f11,f26,f43,f37,f17,f26,f43,f37,,,,,,,,,,,,,,,,,,,,,,,,,,
1.53E+09,1.33E+76,9.090909091,100,38.46153846,*,*,-,*,*,*,*,-,*,*,*,-,-,*,*,*,*,*,*,f37,f37,-,f49,*,-,*,f26,f43,f37,*,-,f37,f58,*,f37,f37,*,*,f37,f40,f42,-,f37,f7,f37,f26,f37,f26,f1,f37,f20,f28,f57,f26,f37,f20,f26,f30,f15,,,,,,,,,,,,,,,,,,,,
4.19E+07,1.49E+76,27.27272727,100,50.76923077,*,*,*,*,*,*,*,*,-,*,*,-,+,*,f37,f37,*,+,*,f26,+,+,f37,-,f37,f37,+,-,f37,-,f37,-,f49,f37,/,f37,f26,f35,f26,+,f49,f37,f37,f26,*,f33,f37,f26,f41,f45,f42,f2,f26,f15,f24,,,,,,,,,,,,,,,,,,,,,,,,
5.90E+10,1.35E+76,25,100,49.23076923,*,*,*,+,*,*,*,*,*,-,f37,+,*,*,-,*,+,f37,+,f49,+,f37,*,*,f37,*,-,-,f26,/,f49,f37,+,f26,f26,f17,f27,f37,f26,*,f37,f37,f37,f37,+,f49,-,f36,f42,f37,f49,f26,f31,f49,f34,f2,f49,,,,,,,,,,,,,,,,,,,,,,
2.59E+08,1.29E+76,4.545454545,100,35.38461538,*,*,*,*,*,*,*,-,f37,-,*,*,*,-,*,f37,*,*,-,*,+,+,f37,f26,f37,-,*,f37,f26,/,f37,-,f37,*,f37,f37,f27,f49,f37,*,f26,f26,*,f26,f56,f30,f55,f45,f49,f9,f55,f51,f26,f3,f49,,,,,,,,,,,,,,,,,,,,,,,,
4.41E+09,1.28E+76,15.90909091,100,43.07692308,*,+,*,*,*,*,*,f57,f11,*,*,-,*,*,*,*,*,+,f37,/,+,+,f37,f37,+,f37,f37,f37,f37,f26,-,f37,f37,-,f57,+,f26,f26,*,f26,*,f20,f37,f26,f30,f20,f26,f24,f58,f52,f20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
