5.27E+07,1.58E+76,6.818181818,100,36.92307692,*,*,*,*,-,*,*,f37,*,*,*,/,*,*,-,f37,-,-,+,f37,/,*,/,*,/,f37,*,*,*,*,f37,f37,/,f37,+,f37,/,f37,f37,/,f11,f48,f7,f37,f47,-,f37,f37,f7,/,*,f37,f37,f23,f51,f48,f6,f36,f41,f9,f22,f48,f50,f26,f29,f13,f38,,,,,,
1.23E+09,1.52E+76,0,100,32.30769231,*,*,*,*,*,-,*,/,*,*,*,*,/,-,f37,f37,/,+,/,+,*,-,f37,*,f37,*,/,+,*,f29,f37,*,f37,*,/,f37,f29,f37,f37,f26,f49,f19,+,f37,f37,f1,f1,f37,f37,+,f26,f50,f49,f29,f18,f51,f43,f12,f26,f15,f32,,,,,,,,,,,,
3.22E+10,1.49E+76,0,100,32.30769231,*,*,*,*,*,*,*,f37,*,-,*,-,f37,*,*,+,*,f37,*,f7,*,*,+,*,+,f37,*,f1,f11,*,f11,f37,f37,f37,f37,f35,f35,f37,f17,f37,f7,f37,f26,f37,f37,f35,f57,,,,,,,,,,,,,,,,,,,,,,,,,,
9.48E+08,1.46E+76,0,100,32.30769231,*,*,*,*,+,*,+,f37,-,/,+,*,*,f26,/,+,*,f37,f5,+,f37,*,*,*,+,f26,-,-,f37,f26,f13,f37,f37,*,+,*,f37,f37,f37,f38,f37,f7,f13,f54,f20,f26,f37,f26,f41,f26,f37,,,,,,,,,,,,,,,,,,,,,,
1.31E+12,1.44E+76,0,100,32.30769231,*,*,*,*,*,*,-,*,+,*,*,-,*,-,-,*,f37,f10,*,*,f37,f10,-,*,+,*,*,*,f26,*,f4,f37,f37,f8,f58,f37,+,f26,f37,+,f26,f37,f37,*,f15,f26,f37,+,*,f35,f35,f50,f35,f58,f5,f26,f37,f55,f6,f48,f32,,,,,,,,,,,,
1.14E+09,1.44E+76,0,100,32.30769231,*,/,*,*,/,/,-,*,f37,f46,*,*,/,*,*,-,+,*,f37,f37,+,/,*,/,/,+,+,*,f37,f26,f52,f37,f26,f37,*,f46,*,f37,*,f37,*,f37,+,f37,f37,f20,f26,f35,f22,f10,f12,f37,f31,f16,f37,f21,f17,f2,f14,,,,,,,,,,,,,,
3.52E+07,1.40E+76,0,100,32.30769231,*,*,*,*,*,+,*,*,/,+,*,f43,f37,+,+,*,*,*,f45,/,f37,*,*,+,f37,f37,f37,*,f26,f37,+,f37,f38,f37,f38,f37,f26,f37,f37,f37,f26,f42,f26,f43,f49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.84E+09,1.39E+76,0,100,32.30769231,*,*,*,+,*,*,*,+,*,*,*,-,f37,+,-,*,f37,f58,f37,f49,f37,*,*,f26,-,f37,-,+,/,f26,f22,f37,f37,*,*,-,f20,f37,f20,f49,f26,f37,f55,f37,f37,f26,f26,f43,f6,,,,,,,,,,,,,,,,,,,,,,,,
1.79E+07,1.38E+76,0,100,32.30769231,*,*,*,*,*,*,*,-,*,*,*,f49,*,*,*,f37,/,f37,f37,f37,f26,+,f37,f26,+,f37,f37,+,f26,f37,f31,f49,f37,f49,f37,*,f42,f4,f16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+10,1.37E+76,0,100,32.30769231,*,*,+,-,*,*,*,+,-,*,-,*,*,f26,+,/,+,+,/,+,-,*,f37,+,*,f37,*,+,f11,f37,+,f26,*,f49,+,f37,*,f37,*,f26,f49,*,*,*,f37,+,-,f37,f37,f23,f55,f17,f13,f20,f21,f37,f17,f44,f24,f26,f37,f52,f37,f26,f37,f51,f26,f48,f49,f49,f26,,
