1178.406028,9.87E+70,0,100,32.30769231,*,*,*,*,*,*,*,-,-,*,*,-,-,*,*,*,f5,*,f7,*,*,*,*,*,-,*,-,*,*,*,*,*,*,f6,*,*,*,/,*,*,*,*,*,*,*,f5,f6,f6,*,f8,f6,*,*,*,f6,*,*,*,*,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f7,f1,f6,f1,f6,f6,f6,f6,f6,f6,f1,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,,,,,,,,,,,,,,,,,,,,
10385.92464,4.10E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,/,*,*,*,*,+,f6,f6,+,f6,*,+,*,*,*,*,/,+,+,*,*,f6,+,f6,f6,f6,f6,*,*,/,*,f6,+,+,f6,*,f6,f6,f1,f6,f2,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f8,f3,f6,f6,f7,f5,f6,f6,f6,f5,f6,f6,f6,f6,f6,f7,f6,f6,f6,f6,f3,f6,f2,f6,f6,,,,,,,,,,,,,,
30160.17979,3.90E+75,0,100,32.30769231,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,f6,*,+,*,*,*,*,*,+,f6,*,*,*,*,*,*,*,f6,*,f6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,f6,f6,f3,f6,f6,f8,f6,f2,f6,f6,f6,f6,f6,f6,f6,f6,f4,f6,f5,f6,f1,f6,f6,f6,f6,f6,f1,f1,f6,f2,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f5,f6,f6,f6,f6,f6,f1,,,,,,,,,,,,
2647.457261,3.92E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,*,*,/,*,*,*,*,+,f6,+,*,*,f6,+,*,+,-,f6,*,+,f6,*,+,*,*,f6,+,f6,*,+,*,*,f6,f6,f6,f6,f6,f7,f6,f6,f1,f6,f6,f1,f6,f6,f1,f6,f1,f6,f6,f6,f6,f6,f6,f2,f6,f6,f4,f6,f4,f1,f1,f6,f6,f2,f6,f6,f6,f4,f6,f6,f6,f6,f6,f2,f6,f6,f6,f1,f6,f1,f6,f1,,,,,,
1432.864025,3.99E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,+,*,-,*,*,*,*,+,*,*,*,*,*,*,*,*,+,*,*,f6,+,+,*,*,*,*,+,+,*,+,*,*,*,f1,/,*,+,*,*,f6,*,+,*,*,*,f6,f6,f1,f6,f6,f6,f6,f2,f6,f6,f6,f6,f3,f2,f1,f6,f6,f6,f5,f7,f6,f6,f6,f6,f6,f1,f6,f4,f6,f6,f6,f6,f8,f6,f6,f6,f2,f6,f8,f5,f6,f6,f5,f6,f6,f6,f6,f6,f6,f6,f3,f6,f6,f1,f2,f6,f6,f6
1762.086288,3.90E+75,0,100,32.30769231,*,*,*,*,*,/,*,*,-,*,*,*,/,*,*,*,*,*,-,*,*,*,+,*,*,/,*,*,*,*,*,f6,*,*,*,*,*,f2,f6,*,+,*,*,*,*,*,*,*,*,f6,*,/,*,*,*,*,*,+,*,*,f6,*,+,f6,f1,f6,f6,f8,f6,f6,f6,f1,f6,f6,f6,f6,f8,f6,f1,f6,f1,f6,f6,f6,f6,f6,f2,f6,f6,f8,f6,f6,f1,f6,f5,f8,f6,f8,f6,f6,f6,f8,f6,f6,f6,f6,f6,f4,f6,f6,f6,f6,f6,f6,f6,f4,f6,,,,
11385.66944,4.05E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,+,*,*,+,*,f6,*,*,*,*,f6,*,*,f6,f6,f6,+,*,*,*,*,f6,*,f6,*,*,f6,f6,*,f6,f6,f1,f6,f6,f8,f6,f6,f6,f6,f6,f1,f6,f6,f4,f6,f6,f1,f1,f6,f6,f6,f6,f6,f1,f6,f6,f1,f2,f6,f1,f6,f8,f6,f6,f6,f6,f6,f6,f1,f6,f6,f1,f6,,,,,,,,,,,,,,
6277.249988,3.70E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,/,*,*,*,*,*,/,*,*,*,/,*,*,*,*,*,/,*,+,*,*,*,/,/,*,+,*,f6,*,/,*,*,+,f6,*,*,*,f6,+,f6,*,*,f7,*,*,*,*,*,*,+,*,f6,*,/,+,f6,f7,f6,f6,f6,f2,f6,f6,f6,f6,f4,f6,f1,f6,f8,f6,f6,f3,f8,f6,f6,f1,f6,f6,f6,f3,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f8,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f1,f7,f6,f6,f5,,,,,,
103069.1876,3.08E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,/,*,*,*,/,*,*,*,*,/,*,*,*,*,/,*,*,/,/,*,*,*,f6,*,+,/,f6,*,f6,*,*,f6,*,f6,*,/,*,*,*,*,*,*,f6,+,*,/,*,*,f6,f6,f7,f6,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f2,f6,f5,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f7,f4,f4,f6,f1,f6,f6,f8,f1,f6,f6,f6,f6,f6,f3,f6,f1,f6,f7,f6,f2,f6,f2,f6,,,,,,
1139.168945,3.28E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,+,*,*,+,*,*,*,+,*,*,*,*,*,*,*,*,*,f6,*,*,*,*,*,*,*,*,f6,*,*,*,*,/,*,f6,*,f6,f6,*,*,*,*,*,*,*,*,*,*,*,+,/,*,f6,f1,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f5,f6,f6,f6,f1,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f1,f6,f6,f1,f6,f6,f6,f6,f1,f6,f3,f6,f6,f6,f6,f4,f6,f7,f1,f6,,,,,,,,
